Unnamed: 0,PM1.0,PM2.5,PM10,Temperature,Humidity,CO
2021-03-30 07:00:00+07:00,33.22,39.27,70.48,22.0,81.71,620.75
2021-03-31 07:00:00+07:00,27.87,32.02,56.84,22.02,81.54,578.62
2021-04-01 07:00:00+07:00,29.93,34.68,60.37,22.95,81.54,581.55
2021-04-02 07:00:00+07:00,26.38,29.25,50.31,22.96,81.53,565.01
2021-04-03 07:00:00+07:00,25.22,26.36,45.09,22.99,81.18,552.74
2021-04-04 07:00:00+07:00,,,,,,
2021-04-05 07:00:00+07:00,,,,,,
2021-04-06 07:00:00+07:00,50.94,63.88,118.06,21.06,81.88,816.2
2021-04-07 07:00:00+07:00,,,,,,
2021-04-08 07:00:00+07:00,23.44,26.68,46.03,22.64,81.36,554.41
2021-04-09 07:00:00+07:00,16.52,16.9,28.23,19.87,81.0,497.34
2021-04-10 07:00:00+07:00,16.69,17.0,29.25,19.04,81.18,502.52
2021-04-11 07:00:00+07:00,63.32,81.78,156.11,20.12,81.9,962.58
2021-04-12 07:00:00+07:00,26.04,30.82,53.37,22.0,81.71,580.36
2021-04-13 07:00:00+07:00,96.45,156.82,316.12,22.0,81.18,3502290.1
2021-04-14 07:00:00+07:00,16.42,15.76,26.73,22.96,81.54,506.49
2021-04-15 07:00:00+07:00,18.43,18.51,31.25,22.96,81.54,509.19
2021-04-16 07:00:00+07:00,12.61,11.19,18.23,22.96,81.54,475.06
2021-04-17 07:00:00+07:00,15.41,15.85,26.82,21.58,82.08,496.66
2021-04-18 07:00:00+07:00,11.29,10.35,17.41,20.14,82.06,473.76
2021-04-19 07:00:00+07:00,24.17,31.53,57.76,22.0,82.45,587.93
2021-04-20 07:00:00+07:00,46.43,56.95,105.4,22.98,81.37,960.26
2021-04-21 07:00:00+07:00,,,,,,
2021-04-22 07:00:00+07:00,,,,,,
2021-04-23 07:00:00+07:00,18.05,16.85,28.14,23.88,81.89,503.85
2021-04-24 07:00:00+07:00,21.48,20.15,35.3,23.9,81.72,519.1
2021-04-25 07:00:00+07:00,15.79,14.36,23.39,24.0,81.0,489.54
2021-04-26 07:00:00+07:00,9.41,7.71,13.83,22.48,81.36,456.11
2021-04-27 07:00:00+07:00,11.99,10.33,17.27,21.1,82.43,473.33
2021-04-28 07:00:00+07:00,17.35,20.35,35.65,21.07,82.07,531.56
2021-04-29 07:00:00+07:00,14.76,13.12,22.27,20.05,81.36,484.7
2021-04-30 07:00:00+07:00,54.91,63.76,116.67,21.11,82.63,805.66
2021-05-01 07:00:00+07:00,35.87,41.87,74.52,22.0,81.0,638.01
2021-05-02 07:00:00+07:00,21.7,25.97,45.03,22.98,81.37,556.72
2021-05-03 07:00:00+07:00,13.58,11.48,19.39,23.93,81.54,476.27
2021-05-04 07:00:00+07:00,13.63,11.75,20.19,23.88,81.88,478.06
2021-05-05 07:00:00+07:00,5.19,5.15,10.15,22.48,81.72,445.82
2021-05-06 07:00:00+07:00,34.24,38.71,67.87,22.0,81.18,626.85
2021-05-07 07:00:00+07:00,42.47,53.29,95.94,23.42,82.25,742.3
2021-05-08 07:00:00+07:00,28.25,30.43,52.18,23.93,81.54,575.83
2021-05-09 07:00:00+07:00,14.25,12.94,22.63,23.91,81.71,482.88
2021-05-10 07:00:00+07:00,24.59,25.47,44.06,24.27,82.59,548.94
2021-05-11 07:00:00+07:00,32.71,33.79,57.44,24.75,82.25,583.76
2021-05-12 07:00:00+07:00,17.24,16.71,28.35,24.0,81.0,504.61
2021-05-13 07:00:00+07:00,8.41,6.94,12.73,22.98,81.36,452.45
2021-05-14 07:00:00+07:00,17.3,16.55,26.94,23.9,81.71,499.92
2021-05-15 07:00:00+07:00,15.8,14.39,23.36,24.64,82.81,487.29
2021-05-16 07:00:00+07:00,26.1,25.42,43.85,24.75,82.25,539.61
2021-05-17 07:00:00+07:00,11.19,9.07,14.05,24.93,81.37,457.38
2021-05-18 07:00:00+07:00,8.5,6.44,10.91,24.93,81.36,452.7
2021-05-19 07:00:00+07:00,16.39,14.09,23.33,24.86,81.72,486.65
2021-05-20 07:00:00+07:00,12.54,10.31,16.62,24.78,82.1,468.32
2021-05-21 07:00:00+07:00,13.43,11.1,17.95,24.78,82.13,473.16
2021-05-22 07:00:00+07:00,15.82,13.94,22.94,24.86,81.71,494.14
2021-05-23 07:00:00+07:00,14.68,12.86,21.88,25.12,81.73,479.0
2021-05-24 07:00:00+07:00,9.13,6.75,11.08,23.9,81.36,458.7
2021-05-25 07:00:00+07:00,11.61,10.5,17.45,22.0,82.31,473.65
2021-05-26 07:00:00+07:00,39.65,49.0,86.94,22.96,82.06,693.59
2021-05-27 07:00:00+07:00,17.35,16.32,27.94,24.66,82.63,495.39
2021-05-28 07:00:00+07:00,21.2,21.36,36.52,24.82,81.9,526.02
2021-05-29 07:00:00+07:00,21.09,20.02,34.17,24.78,82.08,504.1
2021-05-30 07:00:00+07:00,21.31,19.52,32.46,25.83,81.55,506.51
2021-05-31 07:00:00+07:00,21.4,18.91,32.16,25.95,81.18,513.65
