,yymmdd,time,time zone,AQI 24h
116,2021-04-27,07:00:00,07:00,37.4975
117,2021-04-28,07:00:00,07:00,44.098333333333336
118,2021-04-29,07:00:00,07:00,27.238333333333333
119,2021-04-30,07:00:00,07:00,81.94833333333334
120,2021-05-01,07:00:00,07:00,63.678333333333335
121,2021-05-02,07:00:00,07:00,43.479166666666664
122,2021-05-03,07:00:00,07:00,28.263333333333335
123,2021-05-04,07:00:00,07:00,35.64416666666666
124,2021-05-05,07:00:00,07:00,25.114166666666666
125,2021-05-06,07:00:00,07:00,53.065
126,2021-05-07,07:00:00,07:00,49.46999999999999
127,2021-05-08,07:00:00,07:00,47.63083333333333
128,2021-05-09,07:00:00,07:00,36.214999999999996
129,2021-05-10,07:00:00,07:00,56.719166666666666
130,2021-05-11,07:00:00,07:00,49.74666666666667
131,2021-05-12,07:00:00,07:00,47.56666666666666
132,2021-05-13,07:00:00,07:00,39.737500000000004
133,2021-05-14,07:00:00,07:00,34.392500000000005
134,2021-05-15,07:00:00,07:00,35.416666666666664
135,2021-05-16,07:00:00,07:00,46.27583333333333
136,2021-05-17,07:00:00,07:00,26.632499999999997
137,2021-05-18,07:00:00,07:00,20.22083333333333
138,2021-05-19,07:00:00,07:00,37.4175
139,2021-05-20,07:00:00,07:00,35.21083333333333
140,2021-05-21,07:00:00,07:00,39.115
141,2021-05-22,07:00:00,07:00,38.41916666666666
142,2021-05-23,07:00:00,07:00,35.28583333333333
143,2021-05-24,07:00:00,07:00,16.704166666666666
144,2021-05-25,07:00:00,07:00,30.545833333333334
145,2021-05-26,07:00:00,07:00,50.556666666666665
146,2021-05-27,07:00:00,07:00,23.52416666666667
147,2021-05-28,07:00:00,07:00,30.6775
148,2021-05-29,07:00:00,07:00,51.51416666666666
149,2021-05-30,07:00:00,07:00,59.81583333333334
150,2021-05-31,07:00:00,07:00,54.76083333333333
151,2021-06-01,07:00:00,07:00,3337645.958533333
152,2021-06-02,07:00:00,07:00,67.8525
153,2021-06-03,07:00:00,07:00,90.21
154,2021-06-04,07:00:00,07:00,
155,2021-06-05,07:00:00,07:00,
156,2021-06-06,07:00:00,07:00,168.42648809523808
157,2021-06-07,07:00:00,07:00,77.42999999999999
158,2021-06-08,07:00:00,07:00,49.541666666666664
159,2021-06-09,07:00:00,07:00,47.09583333333333
160,2021-06-10,07:00:00,07:00,33.40083333333333
161,2021-06-11,07:00:00,07:00,32.6725
162,2021-06-12,07:00:00,07:00,34.68083333333333
163,2021-06-13,07:00:00,07:00,12.513333333333335
164,2021-06-14,07:00:00,07:00,14.6775
165,2021-06-15,07:00:00,07:00,24.147499999999997
166,2021-06-16,07:00:00,07:00,18.4725
167,2021-06-17,07:00:00,07:00,19.698333333333334
168,2021-06-18,07:00:00,07:00,20.6325
169,2021-06-19,07:00:00,07:00,15.049166666666666
170,2021-06-20,07:00:00,07:00,13.706666666666665
171,2021-06-21,07:00:00,07:00,24.801666666666666
172,2021-06-22,07:00:00,07:00,59.67916666666667
173,2021-06-23,07:00:00,07:00,25.402500000000003
174,2021-06-24,07:00:00,07:00,37.7675
175,2021-06-25,07:00:00,07:00,61.876666666666665
176,2021-06-26,07:00:00,07:00,22.00916666666667
177,2021-06-27,07:00:00,07:00,12.806666666666667
178,2021-06-28,07:00:00,07:00,11.9525
179,2021-06-29,07:00:00,07:00,18.138333333333332
180,2021-06-30,07:00:00,07:00,15.406666666666666
181,2021-07-01,07:00:00,07:00,15.5875
182,2021-07-02,07:00:00,07:00,15.632499999999999
183,2021-07-03,07:00:00,07:00,34.620000000000005
184,2021-07-04,07:00:00,07:00,28.510833333333334
185,2021-07-05,07:00:00,07:00,17.801666666666666
186,2021-07-06,07:00:00,07:00,30.1675
187,2021-07-07,07:00:00,07:00,32.19166666666667
188,2021-07-08,07:00:00,07:00,18.325
189,2021-07-09,07:00:00,07:00,
190,2021-07-10,07:00:00,07:00,
191,2021-07-11,07:00:00,07:00,
192,2021-07-12,07:00:00,07:00,
193,2021-07-13,07:00:00,07:00,24.686666666666667
194,2021-07-14,07:00:00,07:00,19.9875
195,2021-07-15,07:00:00,07:00,
196,2021-07-16,07:00:00,07:00,
197,2021-07-17,07:00:00,07:00,172.1232
198,2021-07-18,07:00:00,07:00,31.501666666666665
199,2021-07-19,07:00:00,07:00,78.97
200,2021-07-20,07:00:00,07:00,
201,2021-07-21,07:00:00,07:00,
202,2021-07-22,07:00:00,07:00,
203,2021-07-23,07:00:00,07:00,24.53
204,2021-07-24,07:00:00,07:00,36.68083333333333
205,2021-07-25,07:00:00,07:00,46.51499999999999
206,2021-07-26,07:00:00,07:00,
207,2021-07-27,07:00:00,07:00,
208,2021-07-28,07:00:00,07:00,
209,2021-07-29,07:00:00,07:00,58.3725
210,2021-07-30,07:00:00,07:00,60.38416666666666
211,2021-07-31,07:00:00,07:00,58.37083333333334
212,2021-08-01,07:00:00,07:00,12.676666666666668
213,2021-08-02,07:00:00,07:00,32.660833333333336
214,2021-08-03,07:00:00,07:00,43.36750000000001
215,2021-08-04,07:00:00,07:00,77.2775
216,2021-08-05,07:00:00,07:00,72.55
217,2021-08-06,07:00:00,07:00,52.09333333333333
218,2021-08-07,07:00:00,07:00,19.44583333333333
219,2021-08-08,07:00:00,07:00,71.07083333333334
220,2021-08-09,07:00:00,07:00,90.90500000000002
221,2021-08-10,07:00:00,07:00,20.950833333333335
222,2021-08-11,07:00:00,07:00,23.860833333333336
223,2021-08-12,07:00:00,07:00,34.8225
224,2021-08-13,07:00:00,07:00,24.3875
225,2021-08-14,07:00:00,07:00,25.031666666666666
226,2021-08-15,07:00:00,07:00,38.5325
227,2021-08-16,07:00:00,07:00,23.4075
228,2021-08-17,07:00:00,07:00,21.396666666666665
