0,10; 20,47
0,28; 20,11
0,51; 19,58
0,67; 19,32
0,88; 19,41
1,08; 19,85
1,34; 20,38
1,60; 21,17
1,80; 21,62
2,00; 22,32
2,19; 22,94
2,38; 23,47
2,63; 24,53
2,87; 25,59
3,03; 26,04
3,17; 26,74
3,33; 27,54
3,55; 28,60
3,74; 29,48
3,91; 30,10
4,08; 30,63
4,28; 31,16
4,52; 31,69
4,74; 32,22
4,94; 32,58
5,15; 33,02
5,35; 33,28
5,61; 33,37
5,84; 33,37
6,12; 33,19
6,38; 32,93
6,63; 32,84
6,91; 32,58
7,17; 32,40
7,43; 32,22
7,69; 31,96
7,93; 31,87
8,19; 31,60
8,47; 31,34
8,72; 30,90
8,95; 30,45
9,17; 29,92
9,47; 29,04
9,72; 28,33
9,93; 27,63
10,12; 26,92
10,34; 26,21
10,55; 25,33
10,81; 24,09
11,00; 23,30
11,21; 22,50
11,49; 21,62
11,72; 21,00
11,89; 20,56
