0,0028802; 13,953
0,16865; 17,032
0,40163; 12,351
0,66309; 12,317
0,88295; 10,739
1,0346; 12,269
1,4200; 12,220
1,6129; 13,745
1,8613; 16,814
2,0962; 21,435
2,3586; 26,052
2,6351; 32,218
2,8287; 36,844
3,0633; 39,914
3,2847; 46,087
3,4931; 55,363
3,7577; 70,832
3,9251; 81,663
4,1210; 97,142
4,2755; 112,63
4,4432; 125,01
4,6519; 135,83
4,9294; 146,65
5,1649; 154,37
5,3719; 157,45
5,6485; 163,61
5,8984; 174,43
6,1896; 185,25
6,4264; 199,17
6,6911; 214,64
7,0089; 220,80
7,3679; 226,96
7,6425; 223,82
7,9846; 214,47
8,2435; 202,04
8,4052; 184,96
8,5668; 167,89
8,7149; 152,36
8,8365; 141,49
8,9972; 119,77
9,2542; 98,029
9,5403; 84,039
9,7589; 76,259
9,9909; 66,926
10,250; 56,040
10,618; 38,938
10,918; 24,946
11,137; 17,166
11,452; 12,474
11,727; 12,438
11,892; 12,417
12,003; 13,953
