0,13.95
0.17,12.9
0.4,12.35
0.66,12.32
0.88,10.74
1.03,12.27
1.42,12.22
1.61,13.75
1.86,16.81
2.1,21.44
2.36,26.05
2.64,32.22
2.83,36.84
3.06,39.91
3.28,46.09
3.49,55.36
3.76,70.83
3.93,81.66
4.12,97.14
4.28,112.63
4.44,125.01
4.65,135.83
4.93,146.65
5.16,154.37
5.37,157.45
5.65,163.61
5.9,174.43
6.19,185.25
6.43,199.17
6.69,214.64
7.01,220.8
7.37,226.96
7.64,223.82
7.98,214.47
8.24,202.04
8.41,184.96
8.57,167.89
8.71,152.36
8.84,141.49
9,119.77
9.25,98.03
9.54,84.04
9.76,76.26
9.99,66.93
10.25,56.04
10.62,38.94
10.92,24.95
11.14,17.17
11.45,12.47
11.73,12.44
11.89,12.42
12,13.95
