0	10.512	
0.09589	10.605	
0.26027	11.023	
0.43836	11.209	
0.56164	11.442	
0.69863	11.488	
0.80822	11.581	
0.94521	11.721	
1.0822	11.907	
1.1644	11.953	
1.2466	11.907	
1.411	12.326	
1.5342	12.233	
1.6849	12.326	
1.8493	12.558	
2.0274	12.605	
2.2329	12.837	
2.3973	12.698	
2.6027	12.698	
2.7808	12.791	
2.9863	12.698	
3.1233	12.605	
3.2603	12.605	
3.3836	12.605	
3.4521	12.465	
3.5479	12.419	
3.7123	12.279	
3.8493	12.186	
3.9178	12.14	
4.0822	11.953	
4.3562	11.395	
4.5479	10.93	
4.6575	10.837	
4.9041	10.279	
5.137	10	
5.3014	9.7209	
5.5068	9.7674	
5.7397	9.8605	
5.9178	9.6744	
6.0822	9.6744	
6.2055	9.8605	
6.3973	9.6744	
6.5205	9.5349	
6.6438	9.2558	
6.8082	8.9767	
6.9178	8.8372	
7.0548	8.7907	
7.2055	8.5116	
7.3014	8.3721	
7.4247	8.2791	
7.5479	8.2791	
7.6438	8.3721	
7.7671	8.5116	
7.8904	8.7907	
8.0274	8.7907	
8.1781	8.9767	
8.3699	9.2093	
8.5616	9.6744	
8.7808	9.907	
8.9726	10.14	
9.2466	10.279	
9.4658	10.419	
9.6575	10.279	
9.7945	10.465	
10.041	10.279	
10.219	10.14	
10.438	10.093	
10.644	10.186	
10.767	10.047	
10.959	10.326	
11.192	10.419	
11.397	10.326	
11.521	10.233	
11.712	10.372	
12	10.512	
