Kit ID,Latitude,Longtitude,AQI 24h
1037,21.05226,105.8117,83.72666666666666
1039,21.00764015,105.80453388,92.695
1041,20.99603,105.84455,107.73125
1044,21.0822951059501,105.773392865282,100.74236111111112
1045,21.02431735,105.82139752,93.19
1046,21.03793057,105.78543088,69.50666666666666
1051,20.9313357,105.79145879,105.92986111111112
1081,21.0181984,105.7952921,112.58888888888887
1084,21.0323170270326,105.7487245065,2.9239
1086,21.031291,105.818691,2.9771
1088,21.000939,105.931785,110.6625
1089,21.037454,105.784927,3.36395
1090,21.14768475,105.9158227,117.65694444444443
1091,21.1315376994108,105.778015368578,128.44305555555556
