Kit ID,Latitude,Longtitude,AQI 24h
1037,21.05226,105.8117,82.61083333333333
1039,21.00764015,105.80453388,96.2525
1041,20.99603,105.84455,112.31875
1044,21.0822951059501,105.773392865282,106.1625
1045,21.02431735,105.82139752,96.49166666666667
1046,21.03793057,105.78543088,76.21166666666666
1051,20.9313357,105.79145879,107.92916666666667
1081,21.0181984,105.7952921,107.13958333333332
1084,21.0323170270326,105.7487245065,116.51041666666669
1086,21.031291,105.818691,3.1364
1088,21.000939,105.931785,105.17569444444445
1089,21.037454,105.784927,3.79935
1090,21.14768475,105.9158227,108.02430555555556
