,yymmdd,time,time zone,AQI 24h
147,2021-05-28,07:00:00,07:00,
148,2021-05-29,07:00:00,07:00,
149,2021-05-30,07:00:00,07:00,
150,2021-05-31,07:00:00,07:00,
151,2021-06-01,07:00:00,07:00,64.3075
152,2021-06-02,07:00:00,07:00,96.95333333333333
153,2021-06-03,07:00:00,07:00,3.5349500000000003
154,2021-06-04,07:00:00,07:00,
155,2021-06-05,07:00:00,07:00,
156,2021-06-06,07:00:00,07:00,194.0139880952381
157,2021-06-07,07:00:00,07:00,107.77708333333334
158,2021-06-08,07:00:00,07:00,67.4925
159,2021-06-09,07:00:00,07:00,3.4679
160,2021-06-10,07:00:00,07:00,55.708333333333336
161,2021-06-11,07:00:00,07:00,57.692499999999995
162,2021-06-12,07:00:00,07:00,50.4
163,2021-06-13,07:00:00,07:00,15.158333333333333
164,2021-06-14,07:00:00,07:00,75.42666666666666
165,2021-06-15,07:00:00,07:00,48.80583333333334
166,2021-06-16,07:00:00,07:00,61.815
167,2021-06-17,07:00:00,07:00,
168,2021-06-18,07:00:00,07:00,3.49585
169,2021-06-19,07:00:00,07:00,
170,2021-06-20,07:00:00,07:00,18.3625
171,2021-06-21,07:00:00,07:00,43.80416666666667
172,2021-06-22,07:00:00,07:00,
173,2021-06-23,07:00:00,07:00,
174,2021-06-24,07:00:00,07:00,62.30166666666667
175,2021-06-25,07:00:00,07:00,64.3325
176,2021-06-26,07:00:00,07:00,40.975
177,2021-06-27,07:00:00,07:00,24.587500000000002
178,2021-06-28,07:00:00,07:00,17.745
179,2021-06-29,07:00:00,07:00,
180,2021-06-30,07:00:00,07:00,23.245000000000005
181,2021-07-01,07:00:00,07:00,
182,2021-07-02,07:00:00,07:00,
183,2021-07-03,07:00:00,07:00,
184,2021-07-04,07:00:00,07:00,
185,2021-07-05,07:00:00,07:00,3.5146499999999996
186,2021-07-06,07:00:00,07:00,39.12166666666667
187,2021-07-07,07:00:00,07:00,
188,2021-07-08,07:00:00,07:00,
189,2021-07-09,07:00:00,07:00,
190,2021-07-10,07:00:00,07:00,
