,yymmdd,time,time zone,AQI 24h
0,2021-01-01,07:00:00,07:00,2.9787500000000002
1,2021-01-02,07:00:00,07:00,2.9610000000000003
2,2021-01-03,07:00:00,07:00,2.9445
3,2021-01-04,07:00:00,07:00,3.2854
4,2021-01-05,07:00:00,07:00,
5,2021-01-06,07:00:00,07:00,
6,2021-01-07,07:00:00,07:00,
7,2021-01-08,07:00:00,07:00,2.8468
8,2021-01-09,07:00:00,07:00,2.7872500000000002
9,2021-01-10,07:00:00,07:00,2.812
10,2021-01-11,07:00:00,07:00,2.8274000000000004
11,2021-01-12,07:00:00,07:00,2.8478
12,2021-01-13,07:00:00,07:00,2.9838999999999998
13,2021-01-14,07:00:00,07:00,3.12495
14,2021-01-15,07:00:00,07:00,3.16135
15,2021-01-16,07:00:00,07:00,3.1148000000000002
16,2021-01-17,07:00:00,07:00,2.9332
17,2021-01-18,07:00:00,07:00,3.0916500000000005
18,2021-01-19,07:00:00,07:00,3.0697500000000004
19,2021-01-20,07:00:00,07:00,3.12855
20,2021-01-21,07:00:00,07:00,3.0795
21,2021-01-22,07:00:00,07:00,3.1985500000000004
22,2021-01-23,07:00:00,07:00,3.05425
23,2021-01-24,07:00:00,07:00,2.9974000000000003
24,2021-01-25,07:00:00,07:00,3.10895
25,2021-01-26,07:00:00,07:00,3.0017
26,2021-01-27,07:00:00,07:00,2.9610000000000003
27,2021-01-28,07:00:00,07:00,2.9585500000000002
28,2021-01-29,07:00:00,07:00,2.97525
29,2021-01-30,07:00:00,07:00,3.0357
30,2021-01-31,07:00:00,07:00,3.0548
31,2021-02-01,07:00:00,07:00,3.02795
32,2021-02-02,07:00:00,07:00,2.9964999999999997
33,2021-02-03,07:00:00,07:00,2.9540499999999996
34,2021-02-04,07:00:00,07:00,3.0283499999999997
35,2021-02-05,07:00:00,07:00,2.9677499999999997
36,2021-02-06,07:00:00,07:00,2.9673000000000003
37,2021-02-07,07:00:00,07:00,2.9516500000000003
38,2021-02-08,07:00:00,07:00,2.9261000000000004
39,2021-02-09,07:00:00,07:00,2.9008
40,2021-02-10,07:00:00,07:00,3.2180500000000003
41,2021-02-11,07:00:00,07:00,2.9170499999999997
42,2021-02-12,07:00:00,07:00,2.91175
43,2021-02-13,07:00:00,07:00,2.8507
44,2021-02-14,07:00:00,07:00,2.88935
45,2021-02-15,07:00:00,07:00,2.9311000000000003
46,2021-02-16,07:00:00,07:00,2.9457999999999998
47,2021-02-17,07:00:00,07:00,2.95475
48,2021-02-18,07:00:00,07:00,2.97065
49,2021-02-19,07:00:00,07:00,3.03895
50,2021-02-20,07:00:00,07:00,2.8973000000000004
51,2021-02-21,07:00:00,07:00,2.88765
52,2021-02-22,07:00:00,07:00,3.00855
53,2021-02-23,07:00:00,07:00,3.0419
54,2021-02-24,07:00:00,07:00,2.9454000000000002
55,2021-02-25,07:00:00,07:00,3.0388
56,2021-02-26,07:00:00,07:00,2.9885
57,2021-02-27,07:00:00,07:00,2.8735000000000004
58,2021-02-28,07:00:00,07:00,2.94625
59,2021-03-01,07:00:00,07:00,3.06905
60,2021-03-02,07:00:00,07:00,2.9011
61,2021-03-03,07:00:00,07:00,2.9545
62,2021-03-04,07:00:00,07:00,3.0269
63,2021-03-05,07:00:00,07:00,3.1364
64,2021-03-06,07:00:00,07:00,3.02855
65,2021-03-07,07:00:00,07:00,2.9770999999999996
66,2021-03-08,07:00:00,07:00,3.1045
