,yymmdd,time,time zone,AQI 24h
0,2021-01-01,07:00:00,07:00,
1,2021-01-02,07:00:00,07:00,
2,2021-01-03,07:00:00,07:00,
3,2021-01-04,07:00:00,07:00,
4,2021-01-05,07:00:00,07:00,
5,2021-01-06,07:00:00,07:00,
6,2021-01-07,07:00:00,07:00,
7,2021-01-08,07:00:00,07:00,
8,2021-01-09,07:00:00,07:00,
9,2021-01-10,07:00:00,07:00,
10,2021-01-11,07:00:00,07:00,
11,2021-01-12,07:00:00,07:00,
12,2021-01-13,07:00:00,07:00,
13,2021-01-14,07:00:00,07:00,
14,2021-01-15,07:00:00,07:00,
15,2021-01-16,07:00:00,07:00,
16,2021-01-17,07:00:00,07:00,
17,2021-01-18,07:00:00,07:00,
18,2021-01-19,07:00:00,07:00,
19,2021-01-20,07:00:00,07:00,
20,2021-01-21,07:00:00,07:00,
21,2021-01-22,07:00:00,07:00,
22,2021-01-23,07:00:00,07:00,
23,2021-01-24,07:00:00,07:00,
24,2021-01-25,07:00:00,07:00,
25,2021-01-26,07:00:00,07:00,
26,2021-01-27,07:00:00,07:00,
27,2021-01-28,07:00:00,07:00,
28,2021-01-29,07:00:00,07:00,
29,2021-01-30,07:00:00,07:00,
30,2021-01-31,07:00:00,07:00,
31,2021-02-01,07:00:00,07:00,
32,2021-02-02,07:00:00,07:00,
33,2021-02-03,07:00:00,07:00,
34,2021-02-04,07:00:00,07:00,
35,2021-02-05,07:00:00,07:00,
36,2021-02-06,07:00:00,07:00,3.3946
37,2021-02-07,07:00:00,07:00,3.358
38,2021-02-08,07:00:00,07:00,3.30065
39,2021-02-09,07:00:00,07:00,3.35215
40,2021-02-10,07:00:00,07:00,3.5911500000000003
41,2021-02-11,07:00:00,07:00,3.2265499999999996
42,2021-02-12,07:00:00,07:00,3.267
43,2021-02-13,07:00:00,07:00,3.22745
44,2021-02-14,07:00:00,07:00,3.24345
45,2021-02-15,07:00:00,07:00,3.3191
46,2021-02-16,07:00:00,07:00,3.44025
47,2021-02-17,07:00:00,07:00,3.4304500000000004
48,2021-02-18,07:00:00,07:00,3.27945
49,2021-02-19,07:00:00,07:00,3.4652499999999997
50,2021-02-20,07:00:00,07:00,3.2972500000000005
51,2021-02-21,07:00:00,07:00,3.2308
52,2021-02-22,07:00:00,07:00,3.3554500000000003
53,2021-02-23,07:00:00,07:00,3.43775
54,2021-02-24,07:00:00,07:00,3.3343000000000003
55,2021-02-25,07:00:00,07:00,3.7686
56,2021-02-26,07:00:00,07:00,3.4684
57,2021-02-27,07:00:00,07:00,3.26885
58,2021-02-28,07:00:00,07:00,3.4261000000000004
59,2021-03-01,07:00:00,07:00,3.6316500000000005
60,2021-03-02,07:00:00,07:00,3.33795
61,2021-03-03,07:00:00,07:00,3.2615
62,2021-03-04,07:00:00,07:00,3.50985
63,2021-03-05,07:00:00,07:00,3.79935
64,2021-03-06,07:00:00,07:00,3.5858
65,2021-03-07,07:00:00,07:00,3.36395
66,2021-03-08,07:00:00,07:00,3.59505
67,2021-03-09,07:00:00,07:00,3.5389
68,2021-03-10,07:00:00,07:00,3.4798500000000003
69,2021-03-11,07:00:00,07:00,3.41665
70,2021-03-12,07:00:00,07:00,3.39905
71,2021-03-13,07:00:00,07:00,3.4162
72,2021-03-14,07:00:00,07:00,3.3457
73,2021-03-15,07:00:00,07:00,3.41695
74,2021-03-16,07:00:00,07:00,3.54215
75,2021-03-17,07:00:00,07:00,3.4924
76,2021-03-18,07:00:00,07:00,3.597
77,2021-03-19,07:00:00,07:00,3.4722500000000003
78,2021-03-20,07:00:00,07:00,3.4937
79,2021-03-21,07:00:00,07:00,3.3629000000000002
80,2021-03-22,07:00:00,07:00,3.02795
81,2021-03-23,07:00:00,07:00,3.2182999999999997
82,2021-03-24,07:00:00,07:00,3.3504500000000004
83,2021-03-25,07:00:00,07:00,3.66215
84,2021-03-26,07:00:00,07:00,3.6741
85,2021-03-27,07:00:00,07:00,3.51385
86,2021-03-28,07:00:00,07:00,3.444
87,2021-03-29,07:00:00,07:00,3.58185
88,2021-03-30,07:00:00,07:00,3.7366
89,2021-03-31,07:00:00,07:00,3.53995
90,2021-04-01,07:00:00,07:00,3.52895
91,2021-04-02,07:00:00,07:00,3.5803
92,2021-04-03,07:00:00,07:00,3.4540499999999996
93,2021-04-04,07:00:00,07:00,3.4197500000000005
94,2021-04-05,07:00:00,07:00,3.5824000000000003
95,2021-04-06,07:00:00,07:00,3.4539
96,2021-04-07,07:00:00,07:00,3.4299
97,2021-04-08,07:00:00,07:00,3.46635
98,2021-04-09,07:00:00,07:00,3.22945
99,2021-04-10,07:00:00,07:00,3.3386
100,2021-04-11,07:00:00,07:00,3.5671
101,2021-04-12,07:00:00,07:00,3.4434
102,2021-04-13,07:00:00,07:00,3.4841
103,2021-04-14,07:00:00,07:00,3.4518500000000003
