,yymmdd,time,time zone,AQI 24h
0,2021-01-01,07:00:00,07:00,
1,2021-01-02,07:00:00,07:00,157.73333333333335
2,2021-01-03,07:00:00,07:00,149.6590277777778
3,2021-01-04,07:00:00,07:00,162.00625
4,2021-01-05,07:00:00,07:00,
5,2021-01-06,07:00:00,07:00,
6,2021-01-07,07:00:00,07:00,
7,2021-01-08,07:00:00,07:00,20.1375
8,2021-01-09,07:00:00,07:00,55.53666666666667
9,2021-01-10,07:00:00,07:00,71.17416666666666
10,2021-01-11,07:00:00,07:00,61.53
11,2021-01-12,07:00:00,07:00,72.60583333333334
12,2021-01-13,07:00:00,07:00,123.9423611111111
13,2021-01-14,07:00:00,07:00,138.13958333333335
14,2021-01-15,07:00:00,07:00,160.75416666666666
15,2021-01-16,07:00:00,07:00,176.4657738095238
16,2021-01-17,07:00:00,07:00,117.92430555555556
17,2021-01-18,07:00:00,07:00,79.03500000000001
18,2021-01-19,07:00:00,07:00,108.58472222222221
19,2021-01-20,07:00:00,07:00,155.62827380952382
20,2021-01-21,07:00:00,07:00,
21,2021-01-22,07:00:00,07:00,
22,2021-01-23,07:00:00,07:00,164.51309523809525
23,2021-01-24,07:00:00,07:00,142.5923611111111
24,2021-01-25,07:00:00,07:00,
25,2021-01-26,07:00:00,07:00,
26,2021-01-27,07:00:00,07:00,52.407500000000006
27,2021-01-28,07:00:00,07:00,66.56333333333333
28,2021-01-29,07:00:00,07:00,107.42083333333335
29,2021-01-30,07:00:00,07:00,143.26944444444445
30,2021-01-31,07:00:00,07:00,117.65277777777777
31,2021-02-01,07:00:00,07:00,65.50166666666667
32,2021-02-02,07:00:00,07:00,63.14166666666667
33,2021-02-03,07:00:00,07:00,59.835
34,2021-02-04,07:00:00,07:00,70.37416666666667
35,2021-02-05,07:00:00,07:00,60.998333333333335
36,2021-02-06,07:00:00,07:00,72.38499999999999
37,2021-02-07,07:00:00,07:00,77.1925
38,2021-02-08,07:00:00,07:00,83.44666666666667
39,2021-02-09,07:00:00,07:00,46.123333333333335
40,2021-02-10,07:00:00,07:00,94.37166666666667
41,2021-02-11,07:00:00,07:00,64.3
42,2021-02-12,07:00:00,07:00,56.473333333333336
43,2021-02-13,07:00:00,07:00,41.321666666666665
44,2021-02-14,07:00:00,07:00,48.714999999999996
45,2021-02-15,07:00:00,07:00,63.00333333333333
46,2021-02-16,07:00:00,07:00,77.66083333333333
47,2021-02-17,07:00:00,07:00,54.69583333333333
48,2021-02-18,07:00:00,07:00,92.7375
49,2021-02-19,07:00:00,07:00,
50,2021-02-20,07:00:00,07:00,
51,2021-02-21,07:00:00,07:00,
52,2021-02-22,07:00:00,07:00,
53,2021-02-23,07:00:00,07:00,
54,2021-02-24,07:00:00,07:00,
55,2021-02-25,07:00:00,07:00,
56,2021-02-26,07:00:00,07:00,
57,2021-02-27,07:00:00,07:00,
58,2021-02-28,07:00:00,07:00,73.3125
59,2021-03-01,07:00:00,07:00,74.06416666666667
60,2021-03-02,07:00:00,07:00,35.595
61,2021-03-03,07:00:00,07:00,89.95416666666665
62,2021-03-04,07:00:00,07:00,91.52583333333332
63,2021-03-05,07:00:00,07:00,76.21166666666666
64,2021-03-06,07:00:00,07:00,80.125
65,2021-03-07,07:00:00,07:00,69.50666666666666
66,2021-03-08,07:00:00,07:00,83.95666666666666
67,2021-03-09,07:00:00,07:00,44.232499999999995
68,2021-03-10,07:00:00,07:00,35.5475
69,2021-03-11,07:00:00,07:00,44.47166666666667
70,2021-03-12,07:00:00,07:00,53.8225
71,2021-03-13,07:00:00,07:00,66.525
