Unnamed: 0,PM1.0,PM2.5,PM10,Temperature,Humidity,CO
2021-01-04 04:00:00+07:00,103.16,119.99,221.12,17.0,81.0,1417.4
2021-01-04 05:00:00+07:00,99.05,114.97,211.17,17.0,81.0,1237.2
2021-01-04 06:00:00+07:00,93.69,106.1,194.3,17.0,81.0,1232.58
2021-01-04 07:00:00+07:00,100.1,114.25,208.96,17.0,81.0,1338.77
2021-01-04 08:00:00+07:00,104.12,121.94,227.0,17.0,81.0,1480.3
2021-01-04 09:00:00+07:00,93.86,108.07,195.43,17.06,81.18,1130.33
2021-01-04 10:00:00+07:00,80.73,90.41,164.0,17.55,81.19,805.84
2021-01-04 11:00:00+07:00,73.36,81.67,148.0,18.05,81.19,897.62
2021-01-04 12:00:00+07:00,68.43,75.71,134.0,18.3,82.13,629.13
2021-01-04 13:00:00+07:00,68.1,76.38,137.48,18.62,81.55,739.28
2021-01-04 14:00:00+07:00,65.9,73.81,132.62,19.23,82.14,746.16
2021-01-04 15:00:00+07:00,69.79,76.89,137.59,19.14,81.71,828.45
2021-01-04 16:00:00+07:00,75.5,84.4,150.6,19.15,81.76,786.38
2021-01-04 17:00:00+07:00,84.67,95.67,174.17,18.95,81.72,930.95
2021-01-04 18:00:00+07:00,109.09,125.24,227.67,18.24,81.9,1299.87
2021-01-04 19:00:00+07:00,138.39,161.85,301.68,18.05,81.18,2064.29
2021-01-04 20:00:00+07:00,137.7,162.46,303.76,17.1,81.0,2110.0
2021-01-04 21:00:00+07:00,144.92,173.08,322.39,17.0,81.0,2415.07
2021-01-04 22:00:00+07:00,147.95,175.71,326.2,17.06,81.18,2163.9
2021-01-04 23:00:00+07:00,152.92,180.15,336.42,17.0,81.0,2627.47
2021-01-05 00:00:00+07:00,160.9,194.48,364.19,17.0,81.0,2873.21
2021-01-05 01:00:00+07:00,168.79,207.01,390.45,17.06,81.18,3484.65
2021-01-05 02:00:00+07:00,167.38,207.63,396.88,17.06,81.18,3346.15
2021-01-05 03:00:00+07:00,185.18,238.53,460.94,17.06,81.18,4843.85
2021-01-05 04:00:00+07:00,168.25,214.17,413.21,17.06,81.18,3564.7
2021-01-05 05:00:00+07:00,147.32,182.45,343.69,17.0,81.0,2621.58
2021-01-05 06:00:00+07:00,131.77,161.51,306.57,17.06,81.18,2135.51
2021-01-05 07:00:00+07:00,159.48,205.24,391.32,17.0,81.0,3251.82
2021-01-05 08:00:00+07:00,149.45,192.85,367.77,17.06,81.18,2755.05
2021-01-05 09:00:00+07:00,140.08,177.14,333.11,17.06,81.18,2411.06
2021-01-05 10:00:00+07:00,124.62,155.37,294.13,17.77,81.37,1713.57
2021-01-05 11:00:00+07:00,127.31,159.28,304.03,18.1,81.38,1517.37
2021-01-05 12:00:00+07:00,126.3,160.1,300.2,18.68,81.96,1525.63
2021-01-05 13:00:00+07:00,121.86,157.43,299.57,19.04,81.2,1214.84
2021-01-05 14:00:00+07:00,109.95,140.37,262.19,19.19,81.93,1338.9
2021-01-05 15:00:00+07:00,102.62,130.7,247.55,19.16,81.79,1359.97
2021-01-05 16:00:00+07:00,88.67,111.56,206.22,19.18,81.91,921.99
2021-01-05 17:00:00+07:00,73.6,92.51,172.43,19.09,81.97,814.86
2021-01-05 18:00:00+07:00,75.84,94.55,174.23,18.08,81.31,982.6
2021-01-05 19:00:00+07:00,,,,,,
2021-01-05 20:00:00+07:00,,,,,,
2021-01-05 21:00:00+07:00,,,,,,
2021-01-05 22:00:00+07:00,,,,,,
2021-01-05 23:00:00+07:00,,,,,,
2021-01-06 00:00:00+07:00,,,,,,
2021-01-06 01:00:00+07:00,,,,,,
2021-01-06 02:00:00+07:00,,,,,,
2021-01-06 03:00:00+07:00,,,,,,
2021-01-06 04:00:00+07:00,,,,,,
2021-01-06 05:00:00+07:00,,,,,,
2021-01-06 06:00:00+07:00,,,,,,
2021-01-06 07:00:00+07:00,,,,,,
2021-01-06 08:00:00+07:00,83.28,99.16,179.22,17.18,81.54,940.38
2021-01-06 09:00:00+07:00,73.09,87.48,160.22,17.0,81.0,845.1
2021-01-06 10:00:00+07:00,,,,,,
2021-01-06 11:00:00+07:00,,,,,,
2021-01-06 12:00:00+07:00,,,,,,
2021-01-06 13:00:00+07:00,,,,,,
2021-01-06 14:00:00+07:00,,,,,,
2021-01-06 15:00:00+07:00,79.63,94.79,177.16,18.29,82.07,1009.71
2021-01-06 16:00:00+07:00,78.2,93.16,172.96,18.24,81.91,930.76
2021-01-06 17:00:00+07:00,86.07,104.73,190.67,18.33,82.25,1141.14
